ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"156.228.124.57","elite","AS200373","US","3xK Tech GmbH","89","3xK Tech GmbH","3128","socks4","1","100","981","981","2025-06-06T08:03:02.945Z","4890"
"95.68.225.138","elite","AS12389","RU","Ulyanovsk Branch of OJSC VolgaTelecom","59","N/A","1080","socks5","1","79","7855","9948","2025-06-06T08:03:02.928Z","3584"
"38.65.172.4","transparent","N/A","MX","Guillermo Robles Ramirez","140","N/A","999","http","9188","98","88","90","2025-06-06T08:03:02.939Z","364"
"104.24.136.68","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks5","1","100","9739","9739","2025-06-06T08:03:02.935Z","4087"
"23.82.137.161","elite","AS393886","US","Leaseweb USA, Inc.","113","Leaseweb USA, Inc","80","http","9090","100","16","16","2025-06-06T08:03:02.944Z","107"
"98.181.137.80","elite","AS22773","US","Cox Communications Inc.","168","Cox Communications Inc.","4145","socks4","1","43","337","784","2025-06-06T08:03:02.930Z","61"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","103","Zscaler, Inc.","10297","socks5","1","90","8947","9921","2025-06-06T08:03:02.938Z","4423"
"103.224.54.233","elite","AS134922","IN","R TECHNOLOGIES","155","Renu Softtech Sales and Services","31433","socks4","1","99","3063","3101","2025-06-06T08:02:53.441Z","4713"
"199.229.254.129","elite","AS46562","US","Performive LLC","137","Performive LLC","4145","socks4","1","99","147","148","2025-06-06T08:02:53.461Z","33"
"182.253.34.174","elite","AS17451","ID","BIZNET","173","N/A","3128","socks4","1","45","4429","9938","2025-06-06T08:02:53.457Z","4792"
"181.13.217.208","elite","AS271984","AR","Agencia Conectividad Cordoba Sociedad Del Estado","290","Sistesat S.R.L","4153","socks4","1","100","3172","3179","2025-06-06T08:02:53.531Z","4690"
"123.233.120.26","elite","AS4837","CN","CHINA UNICOM China169 Backbone","169","JN jndyjcxlyxgs","1080","socks5","1","99","3041","3058","2025-06-06T08:02:53.528Z","3900"
"121.13.252.60","elite","AS4134","CN","Chinanet","249","Chinanet GD","61401","socks4","1","91","8915","9817","2025-06-06T08:02:53.453Z","4585"
"1.179.151.165","elite","AS131293","TH","TOT Public Company Limited","183","TOT Public Company Limited","31948","socks4","1","91","2202","2419","2025-06-06T08:02:53.532Z","4908"
"144.91.107.252","elite","AS51167","FR","Contabo GmbH","6","Contabo GmbH","18940","socks4","1","99","9733","9852","2025-06-06T08:02:53.636Z","399"
"51.210.180.105","elite","AS16276","FR","OVH SAS","19","OVH","6239","socks4","1","100","2534","2538","2025-06-06T08:02:53.445Z","2775"
"197.255.253.33","elite","AS37521","NG","Internet Solutions Nigeria Limited","142","ISN(Nova)","5678","socks4","1","87","8576","9859","2025-06-06T08:02:53.459Z","4671"
"177.36.185.178","elite","AS53062","BR","Ggnet Telecom Backbone","223","ALT|GGNET TELECOM BACKBONE","5678","socks4","1","78","7703","9861","2025-06-06T08:02:53.445Z","4412"
"78.29.4.218","elite","AS8369","RU","Intersvyaz-2 JSC","65","Intersvyaz-2 JSC","4145","socks4","1","100","9965","9976","2025-06-06T08:02:53.635Z","4294"
"162.243.184.21","elite","AS14061","US","DigitalOcean, LLC","88","Digital Ocean","10000","socks4","1","96","2478","2585","2025-06-06T08:02:53.526Z","4198"
"178.132.4.40","elite","AS49981","NL","WorldStream B.V.","13","Worldstream","31225","socks4","1","79","2144","2701","2025-06-06T08:02:53.638Z","2805"
"113.53.91.10","elite","AS23969","TH","TOT Public Company Limited","208","TOT Public Company Limited","5678","socks4","1","98","9606","9847","2025-06-06T08:02:53.458Z","4493"
"186.216.195.29","elite","AS52973","BR","YIPI Telecom LTDA.","203","YIPI Telecom LTDA","4153","socks4","1","99","3138","3165","2025-06-06T08:02:53.448Z","4288"
"62.201.233.59","elite","AS44217","IQ","NETWORKS-FTTH1","72","N/A","4145","socks4","1","99","3177","3195","2025-06-06T08:02:53.439Z","235"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","38","Link-Service Ltd.","8888","socks4","1","100","9799","9844","2025-06-06T08:02:53.634Z","2099"
"114.223.41.114","elite","AS4134","CN","Chinanet","256","Chinanet JS","8089","socks4","1","89","163","184","2025-06-06T08:02:53.451Z","214"
"181.204.4.74","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","159","Colombia Móvil","5678","socks4","1","99","219","221","2025-06-06T08:02:53.447Z","4986"
"167.99.209.165","elite","AS14061","NL","DigitalOcean, LLC","18","DigitalOcean, LLC","80","socks4","1","100","505","505","2025-06-06T08:02:53.637Z","4267"
"164.52.42.6","elite","AS63199","KR","CDS Global Cloud Co., Ltd","200","Ucul","4145","socks4","1","39","1218","3106","2025-06-06T08:02:53.461Z","4579"
"191.243.56.146","elite","AS263496","BR","Netpeu Tecnologia e Internet Ltda","188","Dastec Desenhos E Assessoria Tecnica Ltda","4153","socks4","1","63","6283","9945","2025-06-06T08:02:53.460Z","4379"
"213.74.223.76","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","42","Hipernet Bilisim VE Telekomunikasyon Hizmetleri Sanayi VE Ticaret Limited","4153","socks4","1","100","963","966","2025-06-06T08:02:53.446Z","100"
"138.124.180.216","elite","AS44477","US","Stark Industries Solutions LTD","80","Stark Industries Solutions LTD","21197","socks4","61","100","1385","1391","2025-06-06T08:02:53.452Z","2990"
